v_1_x v_1_y v_2_x v_2_y v_3_x v_3_y v_4_x v_4_y face fix_aix fix_v angle floor
24.32 1.1 24.32 2.9 20.87 1.1 20.87 2.9 4 x 3.53 180 1
24.32 4.1 24.32 5.9 20.87 4.1 20.87 5.9 4 x 3.53 180 2
24.32 7.1 24.32 8.9 20.87 7.1 20.87 8.9 4 x 3.53 180 3
24.32 10.1 24.32 11.9 20.87 10.1 20.87 11.9 4 x 3.53 180 4
24.32 13.1 24.32 14.9 20.87 13.1 20.87 14.9 4 x 3.53 180 5
24.32 16.1 24.32 17.9 20.87 16.1 20.87 17.9 4 x 3.53 180 6
24.32 19.1 24.32 20.9 20.87 19.1 20.87 20.9 4 x 3.53 180 7
24.32 22.1 24.32 23.9 20.87 22.1 20.87 23.9 4 x 3.53 180 8
24.32 25.1 24.32 26.9 20.87 25.1 20.87 26.9 4 x 3.53 180 9
24.32 28.1 24.32 29.9 20.87 28.1 20.87 29.9 4 x 3.53 180 10
24.32 31.1 24.32 32.9 20.87 31.1 20.87 32.9 4 x 3.53 180 11
24.32 34.1 24.32 35.9 20.87 34.1 20.87 35.9 4 x 3.53 180 12
19.46 1.1 19.46 2.9 17.77 1.1 17.77 2.9 4 x 3.53 180 1
19.46 4.1 19.46 5.9 17.77 4.1 17.77 5.9 4 x 3.53 180 2
19.46 7.1 19.46 8.9 17.77 7.1 17.77 8.9 4 x 3.53 180 3
19.46 10.1 19.46 11.9 17.77 10.1 17.77 11.9 4 x 3.53 180 4
19.46 13.1 19.46 14.9 17.77 13.1 17.77 14.9 4 x 3.53 180 5
19.46 16.1 19.46 17.9 17.77 16.1 17.77 17.9 4 x 3.53 180 6
19.46 19.1 19.46 20.9 17.77 19.1 17.77 20.9 4 x 3.53 180 7
19.46 22.1 19.46 23.9 17.77 22.1 17.77 23.9 4 x 3.53 180 8
19.46 25.1 19.46 26.9 17.77 25.1 17.77 26.9 4 x 3.53 180 9
19.46 28.1 19.46 29.9 17.77 28.1 17.77 29.9 4 x 3.53 180 10
19.46 31.1 19.46 32.9 17.77 31.1 17.77 32.9 4 x 3.53 180 11
19.46 34.1 19.46 35.9 17.77 34.1 17.77 35.9 4 x 3.53 180 12
15.17 1.1 15.17 2.9 11.92 1.1 11.92 2.9 4 x 3.53 180 1
15.17 4.1 15.17 5.9 11.92 4.1 11.92 5.9 4 x 3.53 180 2
15.17 7.1 15.17 8.9 11.92 7.1 11.92 8.9 4 x 3.53 180 3
15.17 10.1 15.17 11.9 11.92 10.1 11.92 11.9 4 x 3.53 180 4
15.17 13.1 15.17 14.9 11.92 13.1 11.92 14.9 4 x 3.53 180 5
15.17 16.1 15.17 17.9 11.92 16.1 11.92 17.9 4 x 3.53 180 6
15.17 19.1 15.17 20.9 11.92 19.1 11.92 20.9 4 x 3.53 180 7
15.17 22.1 15.17 23.9 11.92 22.1 11.92 23.9 4 x 3.53 180 8
15.17 25.1 15.17 26.9 11.92 25.1 11.92 26.9 4 x 3.53 180 9
15.17 28.1 15.17 29.9 11.92 28.1 11.92 29.9 4 x 3.53 180 10
15.17 31.1 15.17 32.9 11.92 31.1 11.92 32.9 4 x 3.53 180 11
15.17 34.1 15.17 35.9 11.92 34.1 11.92 35.9 4 x 3.53 180 12
8.11 1.1 8.11 2.9 5.34 1.1 5.34 2.9 4 x 3.53 180 1
8.11 4.1 8.11 5.9 5.34 4.1 5.34 5.9 4 x 3.53 180 2
8.11 7.1 8.11 8.9 5.34 7.1 5.34 8.9 4 x 3.53 180 3
8.11 10.1 8.11 11.9 5.34 10.1 5.34 11.9 4 x 3.53 180 4
8.11 13.1 8.11 14.9 5.34 13.1 5.34 14.9 4 x 3.53 180 5
8.11 16.1 8.11 17.9 5.34 16.1 5.34 17.9 4 x 3.53 180 6
8.11 19.1 8.11 20.9 5.34 19.1 5.34 20.9 4 x 3.53 180 7
8.11 22.1 8.11 23.9 5.34 22.1 5.34 23.9 4 x 3.53 180 8
8.11 25.1 8.11 26.9 5.34 25.1 5.34 26.9 4 x 3.53 180 9
8.11 28.1 8.11 29.9 5.34 28.1 5.34 29.9 4 x 3.53 180 10
8.11 31.1 8.11 32.9 5.34 31.1 5.34 32.9 4 x 3.53 180 11
8.11 34.1 8.11 35.9 5.34 34.1 5.34 35.9 4 x 3.53 180 12
